Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty Pctl
2172,Alameda ,94545,-122.1002746,37.6298655,0,20.13,90.9,0,56.54,93.26,73.75
4884,Alameda ,94545,-122.0930122,37.6362205,0,26.9,71.57,0,86.68,91.12,58.96
4594,Alameda ,94541,-122.0917198,37.666274,0,27.08,88.56,0,94.29,91.28,32.24
1756,Alameda ,94606,-122.2542495,37.7985014,0,19.17,88.27,0,95.93,84.7,63.11
3408,Alameda ,94542,-122.0691461,37.6586897,0,28.55,91.17,0,85.61,93.95,49.06
6834,Alameda ,94605,-122.1535285,37.7478642,0,25.74,91.16,0,95.91,65.34,37.32
3217,Alameda ,94544,-122.0596258,37.6270608,0,28.85,73.16,7.64,70.87,93.94,53.42
5492,Alameda ,94544,-122.038971,37.6385981,0,23.8,69.65,0,49.58,99.26,87.08
5978,Alameda ,94601,-122.2102385,37.7807761,0,26.23,70.92,0,93.15,67.87,47.81
4656,Alameda ,94538,-121.9931032,37.5293622,0,24.95,74.08,0,60.53,87.38,20.04
5930,Alameda ,94621,-122.1726197,37.7532669,0,22.75,82.85,0,27.39,93.23,83.52
3175,Alameda ,94544,-122.0944503,37.6535732,0,20.22,96.85,0,71.65,98.85,46.24
7369,Alameda ,94577,-122.1734869,37.7234343,0,26.5,71.63,0,78.25,89.93,51.97
6305,Alameda ,94545,-122.1015827,37.6471694,0,25.6,68.52,0,20.99,74.62,36.5
3414,Alameda ,94578,-122.1135398,37.6992653,0,22.89,82.92,0,36.98,94.35,97.19
5073,Alameda ,94580,-122.1146758,37.6876344,0,26.4,48.75,0,36.05,85.09,43.1
5063,Alameda ,94577,-122.1656193,37.7308826,0,24.24,74.08,0,29.44,99.39,85.93
4761,Alameda ,94579,-122.1689582,37.684528,0,33.89,66.82,0,81.53,63.96,20.15
3137,Alameda ,94578,-122.1103206,37.6923654,0,22,96.44,0,75.03,77.88,62.46
4896,Alameda ,94546,-122.0784575,37.6929313,0,21.39,95.48,0,32.22,78.68,50.02
3920,Alameda ,94541,-122.0831568,37.6739266,0,29.88,77.67,0,67.22,93.94,28.75
4788,Alameda ,94545,-122.082604,37.6184511,3.18,35.84,78.69,0,56.62,72.21,51.61
4206,Alameda ,94578,-122.139054,37.7093273,0,20.49,92.54,0,62.43,98.74,72.63
3792,Alameda ,94605,-122.1889435,37.7688611,0,24.85,74.01,0,39.14,99.71,54.44
6091,Alameda ,94608,-122.3061755,37.8381928,0,28.5,54.57,4.25,76.2,93.94,68.6
4113,Alameda ,94702,-122.2815989,37.8504976,0,22.44,84.5,0,23.94,94.08,79.56
4571,Alameda ,94606,-122.2296737,37.7982307,0,28.41,79.25,3.99,79.16,93.94,64.95
4972,Alameda ,94544,-122.0876478,37.6428275,0,23.97,69.77,0,44.82,99.25,86.43
3243,Alameda ,94601,-122.2031992,37.7775293,0,22.26,91.87,0,77.98,84.33,64.44
3124,Alameda ,94602,-122.2217201,37.796806,0,18.76,79.02,0,98.09,78.96,69.42
2794,Alameda ,94541,-122.09333,37.6809369,0,19.59,90.9,0,58.36,84.38,45.38
3964,Alameda ,94606,-122.2461006,37.7933319,0,19.79,90.7,0,62.53,91.17,65.4
7675,Alameda ,94612,-122.2616693,37.8047578,4.22,30.38,57.36,0,32.87,93.55,23.52
4251,Alameda ,94538,-121.9871471,37.537144,0,28.52,92.77,0,76.28,95.12,22.62
3760,Alameda ,94580,-122.1160735,37.6786494,0,25.73,91.16,0,57.65,88.14,37.62
3725,Alameda ,94578,-122.1354706,37.7158642,0,27.52,88.6,0,49.83,96.81,53.71
2714,Alameda ,94541,-122.1022655,37.6746689,0,27.64,58.23,33.78,90.23,71.83,44.98
6599,Alameda ,94560,-122.0473856,37.5125267,0,26.72,71.69,0,71.44,91.76,65.57
2685,Alameda ,94710,-122.2965391,37.8733005,0,19.47,80.51,0,49.26,84.63,43.79
5885,Alameda ,94609,-122.2638645,37.8304835,0,23.07,82.77,0,78.06,85.07,78.59
3965,Alameda ,94544,-122.0851818,37.65183,0,22.23,95.43,0,28.64,89.86,67.82
4902,Alameda ,94603,-122.1661407,37.7466798,0,27.44,88.66,0,19.37,96.81,81.65
3594,Alameda ,94587,-122.0738117,37.6053389,0,20.1,90.76,0,41.79,98.68,58.73
4685,Alameda ,94544,-122.0804835,37.6353608,0,20.17,92.08,0,54.27,93.15,66.26
3062,Alameda ,94545,-122.088523,37.6282241,0,24.9,74.08,0,42.05,99.7,74.53
5368,Alameda ,94578,-122.1335017,37.7021541,0,29.54,69.16,0,46.08,93.94,33.03
4528,Alameda ,94579,-122.1437942,37.6860081,0,28.75,69.16,12.85,27.87,93.94,72.24
5389,Alameda ,94544,-122.0793899,37.644034,0,34,49.86,22.88,86.79,28.33,1.64
4596,Alameda ,94544,-122.0764254,37.6261949,0,22.9,81.23,0,82.34,79.59,71.3
3643,Alameda ,94702,-122.2863197,37.865807,0,21.85,96.2,0,30.11,89.24,72.87
2331,Alameda ,94587,-122.0278186,37.5893439,0,29.18,81.81,0,90.15,94.99,34.46
2338,Alameda ,94587,-122.0486869,37.5911419,2.97,29.17,69.16,22.19,71.85,93.53,56.13
2406,Alameda ,94538,-121.9605916,37.5168344,0,24.96,74.01,0,84.43,99.36,70.13
6610,Alameda ,94601,-122.2250125,37.7892881,51.38,35.22,54.44,20.72,26.41,18.55,47.01
4571,Alameda ,94560,-122.0030673,37.5122564,0,18.82,79.02,0,94.24,74.84,31.81
4503,Alameda ,94578,-122.123482,37.6988143,0,27.92,65.36,0,60.57,96.25,45.24
4156,Alameda ,94605,-122.1557636,37.7603609,0,20.9,95.37,0,79.08,98.78,61.98
4354,Alameda ,94544,-122.0788937,37.6567907,0,32.94,33.9,0,76.99,63.96,59.31
2928,Alameda ,94606,-122.243279,37.7982821,0,22.16,95.94,0,29.72,78.68,52.36
2917,Alameda ,94578,-122.1469937,37.7142641,3.39,36.76,78.69,0,66.87,77.65,29.95
7371,Alameda ,94619,-122.2024899,37.787943,1.66,34.66,73.42,0,70.54,77.65,31.07
3182,Alameda ,94601,-122.2143966,37.7831287,0,26.88,81.75,0,91.46,92.83,36.36
7194,Alameda ,94605,-122.1823031,37.7661964,2.56,35.81,78.69,0,87.96,77.65,14.5
4583,Alameda ,94702,-122.2878154,37.8728822,2.19,28.68,50.77,0,64.82,80.84,56.87
4027,Alameda ,94603,-122.1571742,37.7453063,0,28.06,90.17,0,90.66,93.94,39.53
1596,Alameda ,94587,-122.0225206,37.6003676,0,19.46,91.02,0,99.98,96.73,14.24
5261,Alameda ,94612,-122.26681,37.8071501,0,27,88.46,22.72,86.9,91.84,30.77
4722,Alameda ,94587,-122.0833307,37.5982227,0,20.88,90.2,0,24.76,78.68,70.32
4256,Alameda ,94541,-122.1005196,37.6619708,0,28.89,69.16,16.41,8.77,93.94,95.9
5660,Alameda ,94544,-122.0697491,37.6348665,51.35,36.17,46.84,0,37.72,47.01,23.82
5883,Alameda ,94603,-122.1621741,37.7408161,0,31.53,39.92,0,49.23,71.98,39.12
3731,Alameda ,94550,-121.7369701,37.6733434,0,28.83,90.81,0,79.43,95.1,60.36
3138,Alameda ,94536,-122.0116314,37.5532064,50.92,36.74,45.46,60.05,29.66,49.06,27.73
5918,Alameda ,94621,-122.1785112,37.7604176,3.12,36.43,78.48,0,62.79,77.65,22.97
5216,Alameda ,94602,-122.2079568,37.7936085,8.69,29.81,47.17,17.27,59.76,93.73,41.48
5382,Alameda ,94501,-122.2346068,37.7589136,0,26.74,78.58,0,94.26,86.32,40.93
2816,Alameda ,94610,-122.2372726,37.8008019,1.33,34.67,70.29,0,84.5,76.56,32.8
7280,Alameda ,94608,-122.2898443,37.8426202,0,32.39,68.42,49.95,72.85,63.96,24.25
3989,Alameda ,94578,-122.1091519,37.704911,0,26.18,83.36,0,59.95,91.72,22.51
6696,Alameda ,94546,-122.0828322,37.6982784,0,33.14,65.48,0,72.17,63.96,42.81
3323,Alameda ,94501,-122.2563814,37.756593,0,24.11,47.32,0,54.46,99.34,90.32
4540,Alameda ,94611,-122.2600769,37.8177294,0,29.15,69.16,0,95.67,94,40.65
4696,Alameda ,94538,-121.9787103,37.5408003,0,24.38,73.05,0,40.2,99.61,81.33
2805,Alameda ,94536,-122.0212345,37.55696,0,25.54,41.91,0,77.9,99,31.79
5850,Alameda ,94541,-122.1069995,37.6819278,51.19,35.23,56.29,0,84.05,17.89,42.59
4357,Alameda ,94602,-122.2143073,37.7964782,0,22.1,94.85,0,35.14,78.68,40.2
3144,Alameda ,94605,-122.1645166,37.7710979,0,19.68,79.25,0,53.39,91.23,44.86
3647,Alameda ,94702,-122.2842021,37.8573287,0,19.94,90.84,0,55.17,91.38,31.06
3225,Alameda ,94606,-122.2330985,37.7939452,3.71,27.97,53.47,34.61,88.82,84.17,46.79
2478,Alameda ,94580,-122.1296018,37.6793691,0,25.62,77.64,0,79.53,82.18,26.45
4597,Alameda ,94544,-122.0734492,37.638444,0,21.76,96.44,0,89.71,80.7,27.34
4668,Alameda ,94703,-122.275884,37.8583737,50.66,36.96,45.81,66.09,24.07,49.06,18.62
4080,Alameda ,94605,-122.1353845,37.7619882,2.25,34.99,74.68,0,71.81,77.65,55.55
2887,Alameda ,94606,-122.2513558,37.8020757,0,24.62,63.87,0,82.04,99.35,45.9
2807,Alameda ,94536,-122.0081115,37.5371537,0,19.78,91.93,0,99.73,98.85,30.82
4080,Alameda ,94710,-122.3256618,37.8886213,0,25.13,74.08,0,45.53,85.59,40.98
3716,Alameda ,94580,-122.1235777,37.6718054,0,20.32,92.32,0,53.81,93.4,60.51
1509,Alameda ,94587,-122.0175013,37.5811633,50.98,36.06,61.42,28.5,75.74,48.56,36.35
3729,Alameda ,94577,-122.1428437,37.7270703,0,26.1,63.46,0,79.66,88.39,19.64
4479,Alameda ,94605,-122.1332163,37.7447566,4.76,28.22,50.23,25.51,29.6,95.76,75.01
2302,Alameda ,94538,-121.9748246,37.5183894,0,20.23,91.47,0,28.79,98.85,36.43
5605,Alameda ,94550,-121.7291862,37.6833516,1.41,34.37,46.26,0,67.06,63.81,38.52
4388,Alameda ,94587,-122.0122841,37.5913508,3.1,36.1,78.69,0,49.62,74.2,43.3
3205,Alameda ,94538,-121.9515237,37.5184218,0,29.62,66.03,0,38.44,73.17,44.48
4734,Alameda ,94580,-122.147305,37.6724681,31.88,31.84,71.37,49.15,77.02,20.28,24.95
3473,Alameda ,94560,-122.0361606,37.550978,0,28,91.96,0,82.19,94.96,11.15
6224,Alameda ,94551,-121.7629422,37.6959861,50.63,36,54.36,44.44,36.12,47.24,32.44
3649,Alameda ,94546,-122.0836768,37.6855718,0,29.1,69.16,10.16,55.81,93.94,71.38
